work_order_id,opened_at,closed_at,property_area,system_type,issue_type,maintenance_type,priority,shift,technician_id,asset_age_years,guest_impact,room_out_of_order,response_minutes,repair_minutes,downtime_hours,labor_hours,parts_cost,labor_cost,total_cost,sla_target_minutes,sla_met,repeat_within_30_days,guest_satisfaction
WO-00833,2025-01-01 08:05:00,2025-01-01 09:44:00,Lobby,General Maintenance,Furniture repair,Corrective,Medium,Day,ENG-04,1,False,False,38,61,1.65,1.02,24.84,39.27,64.11,120,True,True,
WO-00394,2025-01-01 09:24:00,2025-01-01 10:54:00,Guest Room,Plumbing,Low water pressure,Corrective,High,Day,ENG-01,8,True,True,11,79,1.5,1.32,140.44,50.82,191.26,30,True,False,4.6
WO-00903,2025-01-01 10:43:00,2025-01-01 12:27:00,Lobby,HVAC,Condensate leak,Corrective,High,Day,ENG-04,5,False,False,38,66,1.73,1.1,16.46,42.35,58.81,30,False,False,
WO-00852,2025-01-01 22:31:00,2025-01-02 02:28:00,Kitchen,Refrigeration,Coil cleaning,Preventive,Medium,Evening,ENG-07,8,False,False,84,153,3.95,2.55,23.4,98.17,121.57,120,True,True,
WO-00080,2025-01-02 06:48:00,2025-01-02 09:36:00,Meeting Space,HVAC,Condensate leak,Corrective,Emergency,Overnight,ENG-08,5,False,False,17,151,2.8,2.52,162.45,97.02,259.47,15,False,False,
WO-00364,2025-01-02 08:53:00,2025-01-02 10:35:00,Guest Room,HVAC,Thermostat fault,Corrective,Medium,Day,ENG-02,13,False,False,46,56,1.7,0.93,99.16,35.8,134.96,120,True,True,
WO-00153,2025-01-02 12:04:00,2025-01-02 13:49:00,Guest Room,Plumbing,Fixture leak,Corrective,High,Day,ENG-02,12,False,False,17,88,1.75,1.47,26.3,56.59,82.89,30,True,False,
WO-00106,2025-01-02 15:31:00,2025-01-02 19:40:00,Kitchen,Refrigeration,Temperature above range,Corrective,Medium,Evening,ENG-07,4,False,False,111,138,4.15,2.3,21.48,88.55,110.03,120,True,False,
WO-00715,2025-01-02 21:00:00,2025-01-03 00:18:00,Meeting Space,HVAC,Filter replacement,Corrective,Emergency,Evening,ENG-06,7,False,False,8,190,3.3,3.17,87.65,122.05,209.7,15,True,False,
WO-00870,2025-01-03 19:52:00,2025-01-03 21:29:00,Guest Room,Plumbing,Preventive inspection,Corrective,Emergency,Evening,ENG-07,2,False,False,10,87,1.62,1.45,160.92,55.82,216.74,15,True,False,
WO-00930,2025-01-03 20:23:00,2025-01-03 22:35:00,Lobby,HVAC,Condensate leak,Corrective,High,Evening,ENG-07,11,True,False,16,116,2.2,1.93,47.59,74.3,121.89,30,True,False,4.0
WO-00312,2025-01-04 11:05:00,2025-01-04 12:52:00,Kitchen,Plumbing,Drain blockage,Corrective,Medium,Day,ENG-02,8,False,False,37,70,1.78,1.17,24.56,45.04,69.6,120,True,False,
WO-00381,2025-01-04 12:03:00,2025-01-04 16:48:00,Guest Room,Electrical,Preventive inspection,Preventive,Low,Day,ENG-03,8,True,False,261,24,4.75,0.4,22.95,15.4,38.35,240,False,False,3.1
WO-00558,2025-01-04 19:36:00,2025-01-04 21:03:00,Guest Room,Electrical,Outlet failure,Corrective,High,Evening,ENG-07,8,True,True,8,79,1.45,1.32,17.96,50.82,68.78,30,True,False,5.0
WO-00201,2025-01-04 22:47:00,2025-01-05 02:47:00,Laundry,Plumbing,Fixture leak,Corrective,Medium,Evening,ENG-06,5,False,False,154,86,4.0,1.43,72.17,55.05,127.22,120,False,False,
WO-00340,2025-01-05 09:10:00,2025-01-05 14:13:00,Kitchen,Refrigeration,Temperature above range,Corrective,Low,Day,ENG-02,6,False,False,204,99,5.05,1.65,342.03,63.52,405.55,240,True,True,
WO-00288,2025-01-05 09:19:00,2025-01-05 10:24:00,Guest Room,General Maintenance,Preventive inspection,Preventive,Medium,Day,ENG-02,9,False,False,35,30,1.08,0.5,27.96,19.25,47.21,120,True,False,
WO-01171,2025-01-05 13:36:00,2025-01-05 14:48:00,Guest Room,Electrical,Control panel fault,Corrective,Medium,Day,ENG-04,11,True,False,32,40,1.2,0.67,155.31,25.8,181.11,120,True,False,4.3
WO-01127,2025-01-05 14:07:00,2025-01-05 16:51:00,Kitchen,Refrigeration,Compressor fault,Corrective,Medium,Day,ENG-02,5,False,False,66,98,2.73,1.63,61.36,62.75,124.11,120,True,False,
WO-01110,2025-01-05 16:38:00,2025-01-05 19:05:00,Guest Room,HVAC,Filter replacement,Preventive,Medium,Evening,ENG-06,6,False,False,57,90,2.45,1.5,50.26,57.75,108.01,120,True,False,
WO-00319,2025-01-05 16:56:00,2025-01-05 20:22:00,Guest Room,Electrical,Preventive inspection,Corrective,Medium,Evening,ENG-05,6,True,False,73,133,3.43,2.22,66.15,85.47,151.62,120,True,False,4.0
WO-01156,2025-01-05 19:43:00,2025-01-05 23:10:00,Lobby,HVAC,Thermostat fault,Corrective,Low,Evening,ENG-05,13,True,False,120,87,3.45,1.45,75.04,55.82,130.86,240,True,False,4.5
WO-00217,2025-01-06 12:22:00,2025-01-06 15:13:00,Guest Room,HVAC,Thermostat fault,Corrective,Medium,Day,ENG-01,10,True,False,36,135,2.85,2.25,440.23,86.62,526.85,120,True,False,4.9
WO-01077,2025-01-06 18:01:00,2025-01-06 19:26:00,Laundry,Plumbing,Preventive inspection,Preventive,Medium,Evening,ENG-07,6,False,False,56,29,1.42,0.48,20.41,18.48,38.89,120,True,False,
WO-00918,2025-01-06 19:20:00,2025-01-06 23:32:00,Kitchen,Refrigeration,Ice buildup,Corrective,Low,Evening,ENG-06,7,False,False,159,93,4.2,1.55,195.92,59.68,255.6,240,True,False,
WO-00432,2025-01-07 16:52:00,2025-01-07 19:04:00,Guest Room,HVAC,Fan motor failure,Corrective,High,Evening,ENG-06,14,True,False,16,116,2.2,1.93,26.81,74.3,101.11,30,True,False,5.0
WO-01144,2025-01-07 18:38:00,2025-01-07 22:28:00,Guest Room,Electrical,Outlet failure,Corrective,Medium,Evening,ENG-06,12,False,False,123,107,3.83,1.78,256.84,68.53,325.37,120,False,False,
WO-00331,2025-01-07 20:08:00,2025-01-07 21:29:00,Meeting Space,HVAC,Fan motor failure,Corrective,Emergency,Evening,ENG-05,11,False,False,15,66,1.35,1.1,188.42,42.35,230.77,15,True,False,
WO-00054,2025-01-08 08:02:00,2025-01-08 10:05:00,Guest Room,General Maintenance,Signage repair,Corrective,Medium,Day,ENG-02,4,True,False,68,55,2.05,0.92,19.93,35.42,55.35,120,True,False,4.5
WO-01050,2025-01-08 10:00:00,2025-01-08 13:33:00,Exterior,General Maintenance,Preventive inspection,Preventive,Low,Day,ENG-04,6,False,False,174,39,3.55,0.65,14.66,25.03,39.69,240,True,False,
WO-00516,2025-01-08 12:31:00,2025-01-08 16:15:00,Mechanical Room,Refrigeration,Ice buildup,Corrective,Medium,Day,ENG-04,8,False,False,45,179,3.73,2.98,125.62,114.73,240.35,120,True,False,
WO-00469,2025-01-09 01:34:00,2025-01-09 03:54:00,Guest Room,General Maintenance,Signage repair,Corrective,Medium,Overnight,ENG-09,12,True,False,88,52,2.33,0.87,4.87,33.49,38.36,120,True,False,5.0
WO-00855,2025-01-09 03:02:00,2025-01-09 06:00:00,Guest Room,Life Safety,Panel communication fault,Corrective,Medium,Overnight,ENG-09,2,False,False,105,73,2.97,1.22,132.79,46.97,179.76,120,True,False,
WO-00323,2025-01-09 10:03:00,2025-01-09 12:27:00,Guest Room,Plumbing,Low water pressure,Corrective,Medium,Day,ENG-04,3,True,False,53,91,2.4,1.52,109.75,58.52,168.27,120,True,False,5.0
WO-00404,2025-01-09 13:42:00,2025-01-09 15:21:00,Guest Room,Life Safety,Sprinkler inspection,Corrective,Medium,Day,ENG-01,11,False,False,36,63,1.65,1.05,38.88,40.43,79.31,120,True,True,
WO-00483,2025-01-09 13:54:00,2025-01-09 15:34:00,Guest Room,Plumbing,Preventive inspection,Preventive,Medium,Day,ENG-02,12,True,False,54,46,1.67,0.77,28.97,29.64,58.61,120,True,False,4.7
WO-00620,2025-01-09 19:14:00,2025-01-09 23:20:00,Kitchen,Refrigeration,Coil cleaning,Preventive,Low,Evening,ENG-06,11,True,False,174,72,4.1,1.2,22.6,46.2,68.8,240,True,False,4.3
WO-00155,2025-01-09 19:53:00,2025-01-09 22:34:00,Laundry,Refrigeration,Coil cleaning,Corrective,Medium,Evening,ENG-06,8,False,False,57,104,2.68,1.73,52.03,66.61,118.64,120,True,False,
WO-00330,2025-01-09 21:31:00,2025-01-10 01:05:00,Guest Room,HVAC,Condensate leak,Corrective,Medium,Evening,ENG-07,15,True,False,61,153,3.57,2.55,211.7,98.17,309.87,120,True,False,4.1
WO-00255,2025-01-10 02:45:00,2025-01-10 05:28:00,Guest Room,HVAC,Thermostat fault,Preventive,Low,Overnight,ENG-08,6,True,False,112,51,2.72,0.85,40.34,32.73,73.07,240,True,False,4.9
WO-00749,2025-01-10 06:19:00,2025-01-10 08:12:00,Guest Room,HVAC,Room not cooling,Corrective,High,Overnight,ENG-09,6,True,False,16,97,1.88,1.62,158.49,62.37,220.86,30,True,False,4.5
WO-00709,2025-01-10 09:29:00,2025-01-10 12:02:00,Guest Room,HVAC,Thermostat fault,Corrective,Medium,Day,ENG-02,14,True,False,36,117,2.55,1.95,66.79,75.08,141.87,120,True,False,4.6
WO-00179,2025-01-10 10:15:00,2025-01-10 15:20:00,Meeting Space,HVAC,Thermostat fault,Preventive,Low,Day,ENG-03,19,False,False,188,117,5.08,1.95,38.74,75.08,113.82,240,True,False,
WO-00435,2025-01-10 18:26:00,2025-01-10 19:43:00,Guest Room,General Maintenance,Furniture repair,Corrective,High,Evening,ENG-07,1,False,False,40,37,1.28,0.62,16.97,23.87,40.84,30,False,False,
WO-00916,2025-01-11 09:43:00,2025-01-11 11:25:00,Guest Room,Plumbing,Low water pressure,Corrective,High,Day,ENG-02,6,True,True,24,78,1.7,1.3,193.46,50.05,243.51,30,True,False,4.2
WO-01105,2025-01-11 11:37:00,2025-01-11 13:27:00,Guest Room,Plumbing,No hot water,Corrective,High,Day,ENG-02,8,True,True,22,88,1.83,1.47,68.61,56.59,125.2,30,True,False,4.5
WO-00598,2025-01-11 12:17:00,2025-01-11 14:43:00,Guest Room,Electrical,Lighting outage,Corrective,Medium,Day,ENG-03,13,True,False,73,73,2.43,1.22,93.79,46.97,140.76,120,True,False,4.2
WO-00284,2025-01-11 16:40:00,2025-01-11 18:28:00,Kitchen,HVAC,Condensate leak,Preventive,Medium,Evening,ENG-07,14,False,False,43,65,1.8,1.08,89.32,41.58,130.9,120,True,False,
WO-00118,2025-01-12 09:30:00,2025-01-12 11:38:00,Meeting Space,Electrical,Breaker trip,Corrective,Medium,Day,ENG-03,2,False,False,47,81,2.13,1.35,259.31,51.98,311.29,120,True,False,
WO-00342,2025-01-12 16:30:00,2025-01-12 19:45:00,Mechanical Room,HVAC,Filter replacement,Corrective,Medium,Evening,ENG-06,16,False,False,69,126,3.25,2.1,141.11,80.85,221.96,120,True,False,
WO-00514,2025-01-12 18:20:00,2025-01-12 21:48:00,Guest Room,HVAC,Condensate leak,Corrective,Medium,Evening,ENG-05,10,False,False,87,121,3.47,2.02,101.24,77.77,179.01,120,True,False,
WO-00055,2025-01-13 10:33:00,2025-01-13 13:54:00,Laundry,Plumbing,No hot water,Corrective,Low,Day,ENG-04,9,True,False,91,110,3.35,1.83,86.11,70.45,156.56,240,True,False,4.2
WO-00693,2025-01-13 12:28:00,2025-01-13 14:40:00,Guest Room,Plumbing,Fixture leak,Corrective,High,Day,ENG-02,12,True,True,28,104,2.2,1.73,52.11,66.61,118.72,30,True,False,4.3
WO-00210,2025-01-13 13:20:00,2025-01-13 14:45:00,Meeting Space,General Maintenance,Preventive inspection,Preventive,Medium,Day,ENG-01,16,True,False,50,35,1.42,0.58,82.04,22.33,104.37,120,True,False,3.9
