opened_month,work_orders,total_cost,sla_compliance
2025-01,111,16979.05,0.8918918918918919
2025-02,100,15173.95,0.9
2025-03,95,15467.51,0.9263157894736842
2025-04,103,16334.14,0.9223300970873787
2025-05,108,18761.35,0.8981481481481481
2025-06,97,15284.09,0.9381443298969072
2025-07,119,18743.11,0.9243697478991597
2025-08,82,12685.050000000001,0.9146341463414634
2025-09,88,15315.460000000001,0.875
2025-10,102,17205.36,0.8725490196078431
2025-11,108,17360.02,0.8888888888888888
2025-12,87,14928.13,0.8390804597701149
